Bla.blaACC_3_AF180957_1_1131_1131 was removed because it failed filtering checks, so removing its metadata
Bla.blaPER_5_FJ627180_1_927_927 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_122_GQ290211_1_515_515 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_140_JN051143_1_861_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_147_JX121114_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_148_JX121115_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_149_JX121116_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_150_JX121117_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_151_JX121118_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_152_JX121119_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_153_JX121120_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_154_JX121121_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_155_JX121122_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_158_JX121125_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_159_JX121126_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_162_JX121129_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_163_JX121130_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_165_JX121131_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_167_AB733453_4_849_846 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_39_AY150585_1_285_285 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_45_HQ877612_1_715_715 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_53_AY590467_1_729_729 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_55_HQ877613_1_715_715 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_62_AJ866285_1_832_832 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_6_Y11069_1_780_780 was removed because it failed filtering checks, so removing its metadata
Bla.blaSHV_84_AM087453_26_856_831 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_102_AY029354_3_833_831 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_10_U09188_198_1005_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_110_AY130283_1_785_785 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_117_AY130282_1_764_764 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_118_AY130285_1_785_785 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_169_FJ873740_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_191_JF949916_1_757_757 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_192_JF949915_1_754_754 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_199_JX050178_1_853_853 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_205_KC900516_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_213_KF663615_1_858_858 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_22_Y17583_214_1071_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_26B_L19940_198_1006_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_42_X98047_1_844_844 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_59_AF062386_31_862_832 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_75_AY130284_1_785_785 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_7_AF527798_1_785_785 was removed because it failed filtering checks, so removing its metadata
Bla.blaTEM_89_AY039040_189_1022_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaZEG_1_AY265891_1_1013_1013 was removed because it failed filtering checks, so removing its metadata
Col.mcr_3.19_NG_055497_101_1726_1626 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB40_JN166689_1_660_660 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB41_JN166690_1_681_681 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB43_JQ349151_1_680_680 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB44_JQ349153_1_680_680 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB45_JQ349152_1_680_680 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB46_JQ349154_1_680_680 was removed because it failed filtering checks, so removing its metadata
Flq.qnrB47_JQ349155_1_680_680 was removed because it failed filtering checks, so removing its metadata
Flq.qnrS3_EU077611_1_657_657 was removed because it failed filtering checks, so removing its metadata
Gly.vanH_Ac2_AY618461_1_714_714 was removed because it failed filtering checks, so removing its metadata
Gly.vanS_B_AY655721_731_2074_1344 was removed because it failed filtering checks, so removing its metadata
Gly.vanX_Ac2_AY618461_1756_2316_561 was removed because it failed filtering checks, so removing its metadata
Phe.catS_X74948_1_492_492 was removed because it failed filtering checks, so removing its metadata
Tmt.dfrA29_AM237806_615_1086_472 was removed because it failed filtering checks, so removing its metadata
