A16S.MEG_10_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
ANT3_DPRIME.MEG_965_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because it failed filtering checks, so removing its metadata
ANT3_DPRIME.MEG_967_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because it failed filtering checks, so removing its metadata
ANT4_PRIME.MEG_985_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT4_PRIME was removed because it failed filtering checks, so removing its metadata
ANT6.MEG_996_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT6 was removed because it failed filtering checks, so removing its metadata
ANT6.MEG_999_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT6 was removed because it failed filtering checks, so removing its metadata
APH3_DPRIME.MEG_1056_Drugs_Aminoglycosides_Aminoglycoside_O_phosphotransferases_APH3_DPRIME was removed because it failed filtering checks, so removing its metadata
BLAA.MEG_1249_Drugs_betalactams_Class_A_betalactamases_BLAA was removed because it failed filtering checks, so removing its metadata
BLAB.MEG_1265_Drugs_betalactams_Class_B_betalactamases_BLAB was removed because it failed filtering checks, so removing its metadata
BLASME.MEG_1318_Drugs_betalactams_Class_A_betalactamases_BLASME was removed because it failed filtering checks, so removing its metadata
BLASME.MEG_1319_Drugs_betalactams_Class_A_betalactamases_BLASME was removed because it failed filtering checks, so removing its metadata
BLAZ.MEG_1422_Drugs_betalactams_Class_A_betalactamases_BLAZ was removed because it failed filtering checks, so removing its metadata
BLT.MEG_1464_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_MFS_efflux_pumps_BLT was removed because it failed filtering checks, so removing its metadata
CAP16S.MEG_1490_Drugs_Cationic_antimicrobial_peptides_Cationic_peptide_resistant_16S_ribosomal_subunit_protein_CAP16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1520_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1542_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1543_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1544_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1545_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1546_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CARB.MEG_1547_Drugs_betalactams_Class_A_betalactamases_CARB was removed because it failed filtering checks, so removing its metadata
CATA.MEG_1593_Drugs_Phenicol_Chloramphenicol_acetyltransferases_CATA was removed because it failed filtering checks, so removing its metadata
CATS.MEG_1633_Drugs_Phenicol_Chloramphenicol_acetyltransferases_CATS was removed because it failed filtering checks, so removing its metadata
CFIA.MEG_1678_Drugs_betalactams_Class_B_betalactamases_CFIA was removed because it failed filtering checks, so removing its metadata
CMLA.MEG_1768_Drugs_Phenicol_Phenicol_resistance_MFS_efflux_pumps_CMLA was removed because it failed filtering checks, so removing its metadata
CMLA.MEG_1769_Drugs_Phenicol_Phenicol_resistance_MFS_efflux_pumps_CMLA was removed because it failed filtering checks, so removing its metadata
CMLA.MEG_1771_Drugs_Phenicol_Phenicol_resistance_MFS_efflux_pumps_CMLA was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1848_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1849_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1871_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1872_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1948_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1949_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1953_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1955_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1956_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1957_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1958_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1959_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1960_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1961_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1962_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1963_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1964_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1965_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1966_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1967_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1968_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1969_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1970_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1971_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1972_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1973_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1974_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1975_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1976_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1977_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1979_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1980_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1981_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1982_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1983_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1984_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1985_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1986_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1987_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1989_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1990_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1991_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1993_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1994_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1995_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1996_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1997_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_1998_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_2000_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CMY.MEG_2001_Drugs_betalactams_Class_C_betalactamases_CMY was removed because it failed filtering checks, so removing its metadata
CNRA.MEG_2005_Metals_Multi_metal_resistance_Multi_metal_resistance_protein_CNRA was removed because it failed filtering checks, so removing its metadata
CNRA.MEG_2006_Metals_Multi_metal_resistance_Multi_metal_resistance_protein_CNRA was removed because it failed filtering checks, so removing its metadata
CNRA.MEG_2007_Metals_Multi_metal_resistance_Multi_metal_resistance_protein_CNRA was removed because it failed filtering checks, so removing its metadata
CNRA.MEG_2008_Metals_Multi_metal_resistance_Multi_metal_resistance_protein_CNRA was removed because it failed filtering checks, so removing its metadata
CORC.MEG_2090_Metals_Multi_metal_resistance_Multi_metal_resistance_protein_CORC was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2216_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2226_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2229_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2257_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2310_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2315_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2316_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2329_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2330_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2332_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2335_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2369_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2370_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2371_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2372_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2373_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2374_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2380_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2381_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2387_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2389_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2390_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2391_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2392_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2393_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2394_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2396_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2397_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2398_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2399_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2400_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2401_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2402_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2403_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2404_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2405_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2406_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2409_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2412_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2413_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2414_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2415_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2416_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2419_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2420_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2421_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2423_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2424_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2425_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2426_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2427_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2428_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2429_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2430_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2431_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2432_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2433_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2434_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2435_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CTX.MEG_2437_Drugs_betalactams_Class_A_betalactamases_CTX was removed because it failed filtering checks, so removing its metadata
CUSC.MEG_2450_Metals_Multi_metal_resistance_Multi_metal_RND_efflux_pumps_CUSC was removed because it failed filtering checks, so removing its metadata
DFRD.MEG_2576_Drugs_Trimethoprim_Dihydrofolate_reductase_DFRD was removed because it failed filtering checks, so removing its metadata
DHA.MEG_2612_Drugs_betalactams_Class_C_betalactamases_DHA was removed because it failed filtering checks, so removing its metadata
DHFR.MEG_2622_Drugs_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
DHFR.MEG_2638_Drugs_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
DHFR.MEG_2641_Drugs_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
EFRA.MEG_2706_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_ABC_efflux_pumps_EFRA was removed because it failed filtering checks, so removing its metadata
EFRB.MEG_2707_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_ABC_efflux_pumps_EFRB was removed because it failed filtering checks, so removing its metadata
EREA.MEG_2751_Drugs_MLS_Macrolide_esterases_EREA was removed because it failed filtering checks, so removing its metadata
ERMA.MEG_2786_Drugs_MLS_23S_rRNA_methyltransferases_ERMA was removed because it failed filtering checks, so removing its metadata
ERMB.MEG_2803_Drugs_MLS_23S_rRNA_methyltransferases_ERMB was removed because it failed filtering checks, so removing its metadata
ERMB.MEG_2807_Drugs_MLS_23S_rRNA_methyltransferases_ERMB was removed because it failed filtering checks, so removing its metadata
ERMF.MEG_2832_Drugs_MLS_23S_rRNA_methyltransferases_ERMF was removed because it failed filtering checks, so removing its metadata
ERMQ.MEG_2842_Drugs_MLS_23S_rRNA_methyltransferases_ERMQ was removed because it failed filtering checks, so removing its metadata
ERMV.MEG_2852_Drugs_MLS_23S_rRNA_methyltransferases_ERMV was removed because it failed filtering checks, so removing its metadata
ERMV.MEG_2853_Drugs_MLS_23S_rRNA_methyltransferases_ERMV was removed because it failed filtering checks, so removing its metadata
FEXA.MEG_2905_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_MFS_efflux_pumps_FEXA was removed because it failed filtering checks, so removing its metadata
FMRO.MEG_2932_Drugs_Aminoglycosides_16S_rRNA_methyltransferases_FMRO was removed because it failed filtering checks, so removing its metadata
FOMB.MEG_2975_Drugs_Fosfomycin_Fosfomycin_phosphorylation_FOMB was removed because it failed filtering checks, so removing its metadata
FOSA.MEG_3002_Drugs_Fosfomycin_Fosfomycin_thiol_transferases_FOSA was removed because it failed filtering checks, so removing its metadata
FOSA.MEG_3003_Drugs_Fosfomycin_Fosfomycin_thiol_transferases_FOSA was removed because it failed filtering checks, so removing its metadata
FOX.MEG_3044_Drugs_betalactams_Class_C_betalactamases_FOX was removed because it failed filtering checks, so removing its metadata
FOX.MEG_3045_Drugs_betalactams_Class_C_betalactamases_FOX was removed because it failed filtering checks, so removing its metadata
FOX.MEG_3046_Drugs_betalactams_Class_C_betalactamases_FOX was removed because it failed filtering checks, so removing its metadata
FOX.MEG_3047_Drugs_betalactams_Class_C_betalactamases_FOX was removed because it failed filtering checks, so removing its metadata
GADA.MEG_3077_Biocides_Acid_resistance_Acid_resistance_protein_GADA was removed because it failed filtering checks, so removing its metadata
GES.MEG_3127_Drugs_betalactams_Class_A_betalactamases_GES was removed because it failed filtering checks, so removing its metadata
GES.MEG_3129_Drugs_betalactams_Class_A_betalactamases_GES was removed because it failed filtering checks, so removing its metadata
GES.MEG_3131_Drugs_betalactams_Class_A_betalactamases_GES was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3152_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3153_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3154_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3155_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3156_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GOB.MEG_3157_Drugs_betalactams_Class_B_betalactamases_GOB was removed because it failed filtering checks, so removing its metadata
GYRB.MEG_3240_Drugs_Fluoroquinolones_Fluoroquinolone_resistant_DNA_topoisomerases_GYRB_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
GYRBA.MEG_3247_Drugs_Aminocoumarins_Aminocoumarin_resistant_DNA_topoisomerases_GYRBA_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3390_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
